# 예시 목록 — get_papers.ps1 -List docs/papers-2026-09.txt
# 파일명	PDF직링크	랜딩페이지
2026_IGSC_Carbon-Aware-Spatiotemporal-Scheduling-of-Data-Transfers.pdf	https://dl.acm.org/doi/pdf/10.1145/3797248.3815406	https://dl.acm.org/doi/10.1145/3797248.3815406
2026_IPDPS_X4-MATCH-Sustainable-Prediction-based-Distribution-of-Video-Encoding-on-Cloud-and-Edge.pdf	https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=11575410&ref=	https://ieeexplore.ieee.org/document/11575410
2026_e-Energy_GreenPASS-Zero-Cost-Carbon-Reduction-in-the-Cloud-Through-Provider-Assisted-Spatial-Shifting.pdf	https://dl.acm.org/doi/pdf/10.1145/3744255.3811732	https://dl.acm.org/doi/10.1145/3744255.3811732
2025_e-Energy_Sustainable-Situation-Aware-Multi-Objective-Spatial-Load-Scheduling-for-Data-Centers.pdf	https://dl.acm.org/doi/pdf/10.1145/3679240.3735100	https://dl.acm.org/doi/10.1145/3679240.3735100
2024_SoCC_The-Hidden-Carbon-Footprint-of-Serverless-Computing.pdf	https://dl.acm.org/doi/pdf/10.1145/3698038.3698546	https://dl.acm.org/doi/10.1145/3698038.3698546
2024_SoCC_Accountable-Carbon-Footprints-and-Energy-Profiling-For-Serverless-Functions.pdf	https://dl.acm.org/doi/pdf/10.1145/3698038.3698531	https://dl.acm.org/doi/10.1145/3698038.3698531
2024_IGSC_Dirty-Electrons-On-the-Carbon-Intensity-of-Stored-Energy.pdf	https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=10765823&ref=	https://ieeexplore.ieee.org/document/10765823
2022_e-Energy_DACF-day-ahead-carbon-intensity-forecasting-of-power-grids-using-machine-learning.pdf	https://dl.acm.org/doi/pdf/10.1145/3538637.3538849	https://dl.acm.org/doi/10.1145/3538637.3538849
2021_Middleware_Towards-transparent-and-trustworthy-cloud-carbon-accounting.pdf	https://dl.acm.org/doi/pdf/10.1145/3501255.3501408	https://dl.acm.org/doi/10.1145/3501255.3501408
2026_EuroSys_Carbon-Aware-Continuous-Learning-for-Sustainable-Real-Time-Machine-Learning-Analytics.pdf	https://dl.acm.org/doi/pdf/10.1145/3767295.3769361	https://dl.acm.org/doi/10.1145/3767295.3769361
2024_ASPLOS_Going-Green-for-Less-Green-Optimizing-the-Cost-of-Reducing-Cloud-Carbon-Emissions.pdf	https://dl.acm.org/doi/pdf/10.1145/3620666.3651374	https://dl.acm.org/doi/10.1145/3620666.3651374
2024_EuroSys_Improving-GPU-Energy-Efficiency-through-an-Application-transparent-Frequency-Scaling-Policy-with-Performance-Assurance.pdf	https://dl.acm.org/doi/pdf/10.1145/3627703.3629584	https://dl.acm.org/doi/10.1145/3627703.3629584
2026_IPDPS_PowerMorph-Shaping-LLM-Training-for-Data-Center-Demand-Response.pdf	https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=11575428&ref=	https://ieeexplore.ieee.org/document/11575428
2024_ASPLOS_Expanding-Datacenter-Capacity-with-DVFS-Boosting-A-safe-and-scalable-deployment-experience.pdf	https://dl.acm.org/doi/pdf/10.1145/3617232.3624853	https://dl.acm.org/doi/10.1145/3617232.3624853
2024_SC_Toward-Sustainable-HPC-In-Production-Deployment-of-Incentive-Based-Power-Efficiency-Mechanism-on-the-Fugaku-Supercomputer.pdf	https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=10793214&ref=	https://ieeexplore.ieee.org/document/10793214
2026_EuroSys_PASS-A-Power-Adaptive-Storage-Server.pdf	https://dl.acm.org/doi/pdf/10.1145/3767295.3769354	https://dl.acm.org/doi/10.1145/3767295.3769354
2026_EuroSys_Prediction-Informed-Power-Management-for-General-Purpose-Compute-Servers.pdf	https://dl.acm.org/doi/pdf/10.1145/3767295.3803617	https://dl.acm.org/doi/10.1145/3767295.3803617
2025_EuroSys_CRAVE-Analyzing-Cross-Resource-Interaction-to-Improve-Energy-Efficiency-in-Systems-on-Chip.pdf	https://dl.acm.org/doi/pdf/10.1145/3689031.3717498	https://dl.acm.org/doi/10.1145/3689031.3717498
2025_EuroSys_Improving-GPU-Sharing-Performance-through-Adaptive-Bubbleless-Spatial-Temporal-Sharing.pdf	https://dl.acm.org/doi/pdf/10.1145/3689031.3696070	https://dl.acm.org/doi/10.1145/3689031.3696070
2024_EuroSys_Improving-Resource-and-Energy-Efficiency-for-Cloud-3D-through-Excessive-Rendering-Reduction.pdf	https://dl.acm.org/doi/pdf/10.1145/3627703.3650064	https://dl.acm.org/doi/10.1145/3627703.3650064
2024_EuroSys_Orion-Interference-aware-Fine-grained-GPU-Sharing-for-ML-Applications.pdf	https://dl.acm.org/doi/pdf/10.1145/3627703.3629578	https://dl.acm.org/doi/10.1145/3627703.3629578
2019_EuroSys_Per-Application-Power-Delivery.pdf	https://dl.acm.org/doi/pdf/10.1145/3302424.3303981	https://dl.acm.org/doi/10.1145/3302424.3303981
2018_EuroSys_Power-sandbox-power-awareness-redefined.pdf	https://dl.acm.org/doi/pdf/10.1145/3190508.3190533	https://dl.acm.org/doi/10.1145/3190508.3190533
2024_SIGMETRICS_Online-Conversion-with-Switching-Costs-Robust-and-Learning-Augmented-Algorithms.pdf	https://dl.acm.org/doi/pdf/10.1145/3652963.3655074	https://dl.acm.org/doi/10.1145/3652963.3655074
2018_EuroSys_Welcome-to-zombieland-practical-and-energy-efficient-memory-disaggregation-in-a-datacenter.pdf	https://dl.acm.org/doi/pdf/10.1145/3190508.3190537	https://dl.acm.org/doi/10.1145/3190508.3190537
2018_EuroSys_Model-driven-computational-sprinting.pdf	https://dl.acm.org/doi/pdf/10.1145/3190508.3190543	https://dl.acm.org/doi/10.1145/3190508.3190543
# 원본 링크(.../presentation/li)는 404 → 실제 경로 jindal
2018_OSDI_Differential-Energy-Profiling-Energy-Optimization-via-Diffing-Similar-Apps.pdf	https://www.usenix.org/system/files/osdi18-jindal.pdf	https://www.usenix.org/conference/osdi18/presentation/jindal
